designation;d_in;d_out;b;c;c_0;n_max
-;[mm];[mm];[mm];[Mpa];[Mpa];[rpm]
N203;17;40;12;17,2;14,3;22000
N303;17;47;14;24,6;20,4;20000
N204;20;47;14;25,1;22;19000
N304;20;52;15;35,5;26;18000
N205;25;52;15;28,6;27;16000
N305;25;62;17;46,5;36,5;15000
N206;30;62;16;44;36,5;14000
N306;30;72;19;58,5;48;12000
N207;35;72;17;56;48;12000
N307;35;80;21;75;63;11000
N208;40;80;18;62;53;11000
N308;40;90;23;93;78;9500
N209;45;85;19;69,5;64;9500
N309;45;100;25;112;100;8500
N210;50;90;20;73,5;69,5;9000
N310;50;110;27;127;112;8000
N211;55;100;21;96,5;95;8000
N311;55;120;29;156;143;7000
N212;60;110;22;108;102;7500
N312;60;130;31;173;160;6700
N213;65;120;23;122;118;6700
N313;65;140;33;212;196;6000
N214;70;125;24;137;137;6300
N314;70;150;35;236;228;5600
N215;75;130;25;150;156;6000
N315;75;160;37;280;265;5300
N216;80;140;26;160;166;5600
N316;80;170;39;300;290;5000
N217;85;150;28;190;200;5300
N317;85;180;41;340;335;4800
N218;90;160;30;208;220;5000
N318;90;190;43;365;360;4500
N219;95;170;32;255;265;4800
N319;95;200;45;390;390;4300
N220;100;180;34;285;305;4500
N320;100;215;47;450;440;3800
